category,question,answer,cleaned_question,cleaned_answer
Corporate Salary account,"If any employee has an active
            loan with their current bank, can they still use the Jupiter Corporate Salary Account?","They can continue paying their loan with their existing bank. Jupiter's Autopay feature lets them
            auto-transfer any amount from their Jupiter account to their existing bank, ensuring their loan payments
            continue seamlessly.","if any employee has an active loan with their current bank, can they still use the jupiter corporate salary account?","they can continue paying their loan with their existing bank. jupiter's autopay feature lets them auto-transfer any amount from their jupiter account to their existing bank, ensuring their loan payments continue seamlessly."
Payments,What payment methods does Jupiter support?,"You can make payments via UPI, your linked bank account, and debit cards. You can also link any bank’s RuPay
            Credit Card to Jupiter UPI and make payments.",what payment methods does jupiter support?,"you can make payments via upi, your linked bank account, and debit cards. you can also link any bank’s rupay credit card to jupiter upi and make payments."
Payments,"Is it safe to make payments
            through Jupiter?","Yes. Jupiter uses industry-standard encryption and is compliant with RBI regulations to ensure secure and
            private transactions.",is it safe to make payments through jupiter?,yes. jupiter uses industry-standard encryption and is compliant with rbi regulations to ensure secure and private transactions.
Payments,Can I pay my bills using Jupiter?,"Yes, you can pay utility bills like electricity, gas, DTH, water, and mobile recharges directly from the
            app.",can i pay my bills using jupiter?,"yes, you can pay utility bills like electricity, gas, dth, water, and mobile recharges directly from the app."
Payments,Can I link multiple bank accounts to Jupiter?,"Yes, you can link more than one bank account and switch between them when making UPI payments.",can i link multiple bank accounts to jupiter?,"yes, you can link more than one bank account and switch between them when making upi payments."
Payments,Can I track my payments on Jupiter?,"Yes, you can track all your payments, see your top spending categories, and get actionable insights to
            better manage your money.",can i track my payments on jupiter?,"yes, you can track all your payments, see your top spending categories, and get actionable insights to better manage your money."
Payments,How do I earn cashback or rewards on payments?,"If you have a PRO Savings Account, you earn 1% cashback on all Debit Card payments and UPI payments from 7
            top brands. If you have linked any RuPay Credit Card to Jupiter UPI, you earn up to 2% cashback on every
            payment. Cashback is credited in the form of Jewels. 5 Jewels = ₹1",how do i earn cashback or rewards on payments?,"if you have a pro savings account, you earn 1% cashback on all debit card payments and upi payments from 7 top brands. if you have linked any rupay credit card to jupiter upi, you earn up to 2% cashback on every payment. cashback is credited in the form of jewels. 5 jewels = ₹1"
Payments,Are there any charges for UPI transactions?,"No, UPI payments are free of charge on Jupiter.",are there any charges for upi transactions?,"no, upi payments are free of charge on jupiter."
Payments,Is there a transaction limit for UPI payments?,"Yes, the daily UPI limit is set by your bank and NPCI, which is generally ₹1 Lakh per day.",is there a transaction limit for upi payments?,"yes, the daily upi limit is set by your bank and npci, which is generally ₹1 lakh per day."
Bills & Recharges,What types of bills can I pay on Jupiter?,"You can pay your credit card bills, electricity, DTH, broadband, water, gas, mobile prepaid, and more—all in
            one place.",what types of bills can i pay on jupiter?,"you can pay your credit card bills, electricity, dth, broadband, water, gas, mobile prepaid, and more—all in one place."
Bills & Recharges,What payment modes can I use to pay bills on Jupiter?,"You can pay bills through bank transfers linked to your Federal Bank Savings Account, UPI, or your RuPay
            Credit Cards.",what payment modes can i use to pay bills on jupiter?,"you can pay bills through bank transfers linked to your federal bank savings account, upi, or your rupay credit cards."
Bills & Recharges,Do I get rewards for bill payments?,Yes! You earn Jewels for every eligible bill and recharge made with Jupiter.,do i get rewards for bill payments?,yes! you earn jewels for every eligible bill and recharge made with jupiter.
Bills & Recharges,What are Jewels and how do they work?,"Jewels are credits you earn when you make eligible payments with Jupiter. You can redeem them in cash for
            instant discounts on future bill payments.
₹1= 5 Points*
*As per the rewards policy",what are jewels and how do they work?,jewels are credits you earn when you make eligible payments with jupiter. you can redeem them in cash for instant discounts on future bill payments. ₹1= 5 points* *as per the rewards policy
Bills & Recharges,How do I activate Autopay?,"To set up Autopay for bills & recharges, use your Jupiter UPI ID as a default payment method on the
            respective merchant app or website.",how do i activate autopay?,"to set up autopay for bills & recharges, use your jupiter upi id as a default payment method on the respective merchant app or website."
Bills & Recharges,Do I need to upload any documents or enter bill details manually each time?,"No paperwork needed! Just link your billing merchant once, and your dues automatically in the future.",do i need to upload any documents or enter bill details manually each time?,"no paperwork needed! just link your billing merchant once, and your dues automatically in the future."
Bills & Recharges,Can I track my past payments?,"Yes, your entire payment history is available under the ‘Bills & Recharges’ section in the app.",can i track my past payments?,"yes, your entire payment history is available under the ‘bills & recharges’ section in the app."
Pay via UPI,What type of payments can I make with Jupiter UPI?,"You can send money, pay contacts, scan QR codes at stores, and shop online—securely and instantly.",what type of payments can i make with jupiter upi?,"you can send money, pay contacts, scan qr codes at stores, and shop online—securely and instantly."
Pay via UPI,Do I need to open a Jupiter Savings Account to use UPI?,"No, you can use Jupiter UPI with your existing bank account by linking it on the Jupiter app.",do i need to open a jupiter savings account to use upi?,"no, you can use jupiter upi with your existing bank account by linking it on the jupiter app."
Pay via UPI,What rewards do I get with my Edge CSB Bank RuPay Credit Card?,You can get 2% cashback on UPI & credit card spends with the Edge CSB Bank RuPay Credit Card.,what rewards do i get with my edge csb bank rupay credit card?,you can get 2% cashback on upi & credit card spends with the edge csb bank rupay credit card.
Pay via UPI,Can I send money to contacts using other UPI apps?,Absolutely. Jupiter lets you send money to anyone—regardless of the UPI app they use.,can i send money to contacts using other upi apps?,absolutely. jupiter lets you send money to anyone—regardless of the upi app they use.
Pay via UPI,What is UPI Lite and how does it work?,"UPI Lite lets you make small-value payments without entering your UPI PIN (Up to ₹5,000). It’s perfect for
            quick spends like groceries or tea.",what is upi lite and how does it work?,"upi lite lets you make small-value payments without entering your upi pin (up to ₹5,000). it’s perfect for quick spends like groceries or tea."
Pay via UPI,Is there a limit on UPI transactions?,"To ensure safety of your transactions, NPCI has set the maximum daily UPI payments limit to ₹1 Lakh.",is there a limit on upi transactions?,"to ensure safety of your transactions, npci has set the maximum daily upi payments limit to ₹1 lakh."
Edge+ CSB Bank RuPay credit card,"How can I apply for the Edge+
            CSB Bank RuPay Credit Card?","You can check your eligibility and credit limit for the credit card instantly. To apply for the card,
            download the Jupiter app and complete your application anytime. It’s 100% digital with no paperwork!",how can i apply for the edge+ csb bank rupay credit card?,"you can check your eligibility and credit limit for the credit card instantly. to apply for the card, download the jupiter app and complete your application anytime. it’s 100% digital with no paperwork!"
Edge+ CSB Bank RuPay credit card,"What's the maximum cashback I
            can earn with Edge+?","There is no maximum limit of cashback which can be earned with Edge+, there are limits on accelerated
            cashback for categories.",what's the maximum cashback i can earn with edge+?,"there is no maximum limit of cashback which can be earned with edge+, there are limits on accelerated cashback for categories."
Edge+ CSB Bank RuPay credit card,"What is the maximum cashback I
            can earn for each category?","The maximum cashback applicable under each category is: 10% cashback - ₹1,500 per billing cycle (merchant
            limit of ₹500) 5% cashback - ₹1,000 per billing cycle 1% cashback - No Limit",what is the maximum cashback i can earn for each category?,"the maximum cashback applicable under each category is: 10% cashback - ₹1,500 per billing cycle (merchant limit of ₹500) 5% cashback - ₹1,000 per billing cycle 1% cashback - no limit"
Edge+ CSB Bank RuPay credit card,How is cashback credited?,"The cashback amount is credited to your account instantly in the form of Jewels. 5 Jewels = ₹1 and you can
            redeem Jewels as cash, gift cards, Digital Gold, and for bill payments.",how is cashback credited?,"the cashback amount is credited to your account instantly in the form of jewels. 5 jewels = ₹1 and you can redeem jewels as cash, gift cards, digital gold, and for bill payments."
Edge+ CSB Bank RuPay credit card,Which brands does Edge+ offer cashback on?,"10% cashback on shopping: Amazon, Flipkart, Myntra, Ajio, Zara, Nykaa, Croma, Reliance Trends, Tata Cliq,
            Reliance Digital 5% cashback on travel: MakeMyTrip, EaseMyTrip, Yatra, Cleartrip 1% cashback: On all other
            offline & online eligible spends. Please note that we display third-party brand logos only to indicate where
            cashback is applicable, and it does not amount to any endorsement by either party. All trademarks belong to
            their respective owners. The brands are subject to change.",which brands does edge+ offer cashback on?,"10% cashback on shopping: amazon, flipkart, myntra, ajio, zara, nykaa, croma, reliance trends, tata cliq, reliance digital 5% cashback on travel: makemytrip, easemytrip, yatra, cleartrip 1% cashback: on all other offline & online eligible spends. please note that we display third-party brand logos only to indicate where cashback is applicable, and it does not amount to any endorsement by either party. all trademarks belong to their respective owners. the brands are subject to change."
Edge+ CSB Bank RuPay credit card,Are there any fees for the Edge+ card?,"There is only a one-time joining fee of ₹499+GST for the card. You also get a Fraud Protection Plan by
            OneAssist which includes an Amazon Prime Membership worth ₹1499. The card is lifetime free with no annual
            fee.",are there any fees for the edge+ card?,there is only a one-time joining fee of ₹499+gst for the card. you also get a fraud protection plan by oneassist which includes an amazon prime membership worth ₹1499. the card is lifetime free with no annual fee.
Rewards,How do I earn Jewels on Jupiter?,"You earn Jewels when you spend using Jupiter—whether it’s with UPI, your debit card, or linked credit cards.
5 Jewels = 1 Rupee",how do i earn jewels on jupiter?,"you earn jewels when you spend using jupiter—whether it’s with upi, your debit card, or linked credit cards. 5 jewels = 1 rupee"
Rewards,What can I redeem Jewels for?,"You can choose from the following loan options:
Digital Gold
Cash credits
Gift vouchers
Bill payments
Credit card discounts",what can i redeem jewels for?,you can choose from the following loan options: digital gold cash credits gift vouchers bill payments credit card discounts
Rewards,How fast can I redeem Jewels on Jupiter?,"Yes, you can redeem the Jewels instantly. You can convert them to cash, gold, vouchers or use them to get
            discounts on bill payments.",how fast can i redeem jewels on jupiter?,"yes, you can redeem the jewels instantly. you can convert them to cash, gold, vouchers or use them to get discounts on bill payments."
Rewards,"Do I get extra rewards with
            linked accounts or cards?","Yes! For example:
PRO Savings Account users get 1% cashback
Edge CSB Bank RuPay Card users get 2% cashback
Linking any RuPay credit card earns you up to 2% cashback on UPI and spends",do i get extra rewards with linked accounts or cards?,yes! for example: pro savings account users get 1% cashback edge csb bank rupay card users get 2% cashback linking any rupay credit card earns you up to 2% cashback on upi and spends
Rewards,Do the earned Jewels expire?,"Your Jewels are safe and redeemable directly on the Jupiter app. Expiry terms, if any, are clearly shown
            under your rewards dashboard.",do the earned jewels expire?,"your jewels are safe and redeemable directly on the jupiter app. expiry terms, if any, are clearly shown under your rewards dashboard."
Loans,"What types of loans can I get on
            Jupiter?","You can choose from the following loan options:
Personal Loan -
Up to ₹5,00,000
Mini Loan -
Up to ₹1,00,000
Loan against Mutual Funds -
Up to ₹50,00,000",what types of loans can i get on jupiter?,"you can choose from the following loan options: personal loan - up to ₹5,00,000 mini loan - up to ₹1,00,000 loan against mutual funds - up to ₹50,00,000"
Loans,Who can apply for a Personal Loan on Jupiter?,"To apply for a Personal Loan, you must:
Be an Indian resident
Be 21 to 60 years old
Be either salaried, business owner, or self-employed",who can apply for a personal loan on jupiter?,"to apply for a personal loan, you must: be an indian resident be 21 to 60 years old be either salaried, business owner, or self-employed"
Loans,"What are the interest rates
            applicable on loans with Jupiter?","Personal Loans start at 1.33% per month
Mini Loans have 0% interest (If repaid in 45 days)
Loans against Mutual Funds start at 10.5% per annum",what are the interest rates applicable on loans with jupiter?,personal loans start at 1.33% per month mini loans have 0% interest (if repaid in 45 days) loans against mutual funds start at 10.5% per annum
Loans,"Is the loan application process
            fully digital?","Yes, the entire process, from checking eligibility to receiving funds, is 100% digital on the Jupiter app.",is the loan application process fully digital?,"yes, the entire process, from checking eligibility to receiving funds, is 100% digital on the jupiter app."
Loans,"How do I apply for a loan on
            Jupiter?","Check your eligibility
Select your preferred loan option
Confirm the loan details
Get money instantly in your account",how do i apply for a loan on jupiter?,check your eligibility select your preferred loan option confirm the loan details get money instantly in your account
Loans,"Will I get reminders for my EMI
            payments?","Yes, Jupiter sends timely EMI reminders so you never miss a due date.",will i get reminders for my emi payments?,"yes, jupiter sends timely emi reminders so you never miss a due date."
Loans,Is there any support if I face issues?,"Yes, you get 24x7 support from our team via the Jupiter app.",is there any support if i face issues?,"yes, you get 24x7 support from our team via the jupiter app."
Loans,What can I use my loan for?,"The loans are flexible and can be used for any purpose, including:
Laptop or phone purchase
Medical expenses
Travel, wedding, or home renovation
Debt consolidation or emergencies",what can i use my loan for?,"the loans are flexible and can be used for any purpose, including: laptop or phone purchase medical expenses travel, wedding, or home renovation debt consolidation or emergencies"
Loan against mutual funds,What is a loan against mutual funds?,"A Loan Against Mutual Funds lets you borrow money by pledging your Mutual Funds. On Jupiter, you can get a
            Loan Against Mutual Funds of up to ₹2 Crore.",what is a loan against mutual funds?,"a loan against mutual funds lets you borrow money by pledging your mutual funds. on jupiter, you can get a loan against mutual funds of up to ₹2 crore."
Loan against mutual funds,How much money can I borrow?,Your loan limit will depend on the amount and type of Mutual Funds in your portfolio.,how much money can i borrow?,your loan limit will depend on the amount and type of mutual funds in your portfolio.
Loan against mutual funds,Can I choose any date for my monthly loan repayment?,You can repay the principal amount anytime within 36 months and the interest in 12 EMIs,can i choose any date for my monthly loan repayment?,you can repay the principal amount anytime within 36 months and the interest in 12 emis
Loan against mutual funds,Do I need to pay interest on the whole amount I am eligible for?,"No, you pay monthly interest only on the withdrawn amount out of the total credit limit given to you.",do i need to pay interest on the whole amount i am eligible for?,"no, you pay monthly interest only on the withdrawn amount out of the total credit limit given to you."
Loan against mutual funds,What is lien marking/pledging of Mutual Funds?,"When you take a Loan Against Mutual Funds, your funds will be lien marked. This means, the lender has the
            right to hold your units and sell them in case the loan isn't repaid. However, your funds will continue
            earning returns and will be redeemable once the loan is fully repaid.",what is lien marking/pledging of mutual funds?,"when you take a loan against mutual funds, your funds will be lien marked. this means, the lender has the right to hold your units and sell them in case the loan isn't repaid. however, your funds will continue earning returns and will be redeemable once the loan is fully repaid."
Loan against mutual funds,Which mutual fund schemes are accepted or can be pledged to take loans?,"Your loan limit can be up to 75% of the Net Asset Value (NAV) of your Debt Mutual Funds, and 45% of the NAV
            of Equity Mutual Funds. For example, if you have invested ₹3 Lakh in Debt Mutual Funds and ₹1 Lakh in Equity
            Mutual Funds, your available loan limit will be(75% of ₹3 Lakhs) + (45% of ₹1 Lakh) = ₹2.70 Lakh",which mutual fund schemes are accepted or can be pledged to take loans?,"your loan limit can be up to 75% of the net asset value (nav) of your debt mutual funds, and 45% of the nav of equity mutual funds. for example, if you have invested ₹3 lakh in debt mutual funds and ₹1 lakh in equity mutual funds, your available loan limit will be(75% of ₹3 lakhs) + (45% of ₹1 lakh) = ₹2.70 lakh"
Loan against mutual funds,How do I check my limit?,You can check your limit on the Jupiter app,how do i check my limit?,you can check your limit on the jupiter app
Loan against mutual funds,Can I pledge any Mutual Fund?,"Yes, you can pledge any eligible Mutual Fund. You can also choose the number of units you want to pledge.",can i pledge any mutual fund?,"yes, you can pledge any eligible mutual fund. you can also choose the number of units you want to pledge."
Loan against mutual funds,When can I redeem the Mutual Funds I have pledged?,Your Mutual Funds will be redeemable once your loan is fully repaid,when can i redeem the mutual funds i have pledged?,your mutual funds will be redeemable once your loan is fully repaid
Loan against mutual funds,What is the tenure of the loan against mutual funds?,You can repay the principal amount in up to 36 months and the interest in 12 EMIs,what is the tenure of the loan against mutual funds?,you can repay the principal amount in up to 36 months and the interest in 12 emis
Loan against mutual funds,What is the credit limit and how is it calculated?,"Your credit limit is calculated based on the value of your Mutual Funds portfolio Link to doc: LAMF Landing
            Page & SEO Requirements",what is the credit limit and how is it calculated?,your credit limit is calculated based on the value of your mutual funds portfolio link to doc: lamf landing page & seo requirements
Investments,"What investment options are
            available on Jupiter?","You can invest in the following:
Mutual Funds
Digital Gold
Magic Spends
Fixed Deposits",what investment options are available on jupiter?,you can invest in the following: mutual funds digital gold magic spends fixed deposits
Investments,"Do I need to open a Savings
            Account to Invest on Jupiter?","Yes, you need to open a Savings Account to invest in Mutual Funds, Magic Spends or Fixed Deposits. But, you
            can start investing in Digital Gold even without opening a Savings Account.",do i need to open a savings account to invest on jupiter?,"yes, you need to open a savings account to invest in mutual funds, magic spends or fixed deposits. but, you can start investing in digital gold even without opening a savings account."
Investments,"Is there a fee for investing in
            Mutual Funds on Jupiter?","No, Jupiter doesn't charge any commissions or extra fees on Mutual Funds",is there a fee for investing in mutual funds on jupiter?,"no, jupiter doesn't charge any commissions or extra fees on mutual funds"
Investments,How do No-Penalty SIPs work on Jupiter ?,No-Penalty SIPs let you skip SIPs without having to pay any extra charges,how do no-penalty sips work on jupiter ?,no-penalty sips let you skip sips without having to pay any extra charges
Investments,What is ‘Magic Spends’ and how does it work?,"Magic Spends lets you auto-invest small amounts (like ₹10 or more) every time you spend, turning your daily
            spending into effortless investing.",what is ‘magic spends’ and how does it work?,"magic spends lets you auto-invest small amounts (like ₹10 or more) every time you spend, turning your daily spending into effortless investing."
Investments,Can I withdraw from Fixed Deposits before maturity?,"Yes, FlexiFD lets you withdraw money in parts without having to break your full FD.",can i withdraw from fixed deposits before maturity?,"yes, flexifd lets you withdraw money in parts without having to break your full fd."
Investments,Is my money safe when I invest on Jupiter?,"Yes. Jupiter partners with trusted AMCs, RBI-regulated entities, and SEBI-compliant platforms to ensure your
            investments are 100% safe.",is my money safe when i invest on jupiter?,"yes. jupiter partners with trusted amcs, rbi-regulated entities, and sebi-compliant platforms to ensure your investments are 100% safe."
Mutual Funds,Am I eligible to invest on Jupiter?,"We're currently open to folks who have Mutual Fund investment accounts already. If you've invested in Mutual
            Funds in India, or have signed up to invest on another platform before, you're eligible! Go ahead and sign
            up on the Jupiter app to get started. In a few weeks, everyone else will also be able to invest on Jupiter —
            hang in there, and watch this space for updates",am i eligible to invest on jupiter?,"we're currently open to folks who have mutual fund investment accounts already. if you've invested in mutual funds in india, or have signed up to invest on another platform before, you're eligible! go ahead and sign up on the jupiter app to get started. in a few weeks, everyone else will also be able to invest on jupiter — hang in there, and watch this space for updates"
Mutual Funds,How do I pay less and earn more using the Jupiter App?,"On Jupiter, you pay less and earn more on your investments because:
Jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment
                amount like other regular funds.
Jupiter doesn’t charge Penalties of up to Rs 750 that other banks charge in case you miss
                a SIP because of insufficient balance in your account",how do i pay less and earn more using the jupiter app?,"on jupiter, you pay less and earn more on your investments because: jupiter doesn’t charge any hidden commissions of 1.5% over and above your investment amount like other regular funds. jupiter doesn’t charge penalties of up to rs 750 that other banks charge in case you miss a sip because of insufficient balance in your account"
Mutual Funds,What’s the difference between a No-Penalty SIP and a Normal SIP?,"In case you miss a SIP because of insufficient balance in your account, your bank charges you ₹250–₹750 as
            Penalty for that missed SIP. Jupiter just smartly skips your SIP! So, there are no Penalty charges",what’s the difference between a no-penalty sip and a normal sip?,"in case you miss a sip because of insufficient balance in your account, your bank charges you ₹250–₹750 as penalty for that missed sip. jupiter just smartly skips your sip! so, there are no penalty charges"
Mutual Funds,What all Mutual Funds does Jupiter have?,"Jupiter has 1000+ Mutual Funds from 39 major AMCs across India. Jupiter only provides growth Direct Mutual
            Funds which are the best commission-free funds in India",what all mutual funds does jupiter have?,jupiter has 1000+ mutual funds from 39 major amcs across india. jupiter only provides growth direct mutual funds which are the best commission-free funds in india
